step,t,tid,truth,subtype,x,y,pred,p_uav,threat,d_asset,reco,kill
7,14.0,T01,drone,고정익,2.7753927775408513,2.6473390837002793,드론,0.95,84.8,1.67,물리 요격(최후수단),hard
7,14.0,T02,bird,조류,-4.209782684962724,-0.7908187847225698,새/기타,0.1,6.5,3.96,감시 지속,none
7,14.0,T04,balloon,고고도 미사일 풍선,-4.3215290302590885,0.44676523617719976,풍선,0.15,8.0,3.1,감시 지속,none
7,14.0,T05,drone,자폭형(FPV),-3.4442263437467813,0.5942597753471355,드론,0.95,76.5,2.39,물리 요격(최후수단),hard
7,14.0,T06,bird,조류,-3.885195259454477,-2.371771355984376,새/기타,0.1,6.5,4.55,감시 지속,none
7,14.0,T07,balloon,오물풍선,3.0789292489043047,-2.689277220776943,풍선,0.15,8.0,3.73,감시 지속,none
7,14.0,T08,bird,조류,-4.356920213694211,0.9466625271269454,새/기타,0.1,41.3,2.82,감시 지속,none
7,14.0,T09,balloon,고고도 미사일 풍선,-1.6191255643377884,4.5501673039103965,풍선,0.15,53.2,2.09,포획·유도 회수,soft
7,14.0,T10,bird,조류,3.4011043335800952,-1.9207562715683495,새/기타,0.1,6.5,3.06,감시 지속,none
7,14.0,T11,drone,고정익,3.5759595018129917,1.4369994966521349,드론,0.95,89.8,1.16,물리 요격(최후수단),hard
7,14.0,T12,drone,고정익,3.8558398765749744,1.8487168342405198,드론,0.95,85.5,1.6,물리 요격(최후수단),hard
7,14.0,T13,drone,회전익(헬기형),3.3093340268590894,-2.7135808460060136,드론,0.95,54.0,3.8,RF 재밍,soft
7,14.0,T14,bird,조류,3.09862467835686,-2.8721416430330393,새/기타,0.1,6.5,3.92,감시 지속,none
7,14.0,T15,bird,조류,-0.125842860068185,4.381836785476511,새/기타,0.1,44.2,2.66,감시 지속,none
7,14.0,T16,bird,조류,-1.290358029602846,-3.94688809996721,새/기타,0.1,6.5,4.15,감시 지속,none
7,14.0,T17,balloon,고고도 미사일 풍선,-3.6339186951195908,1.1823919852925775,풍선,0.15,53.0,2.1,포획·유도 회수,soft
7,14.0,T18,bird,조류,-0.7414868754536286,-3.742066376789608,새/기타,0.1,6.5,3.81,감시 지속,none
7,14.0,T19,bird,조류,1.0842622088348526,-3.8042817898351515,새/기타,0.1,25.5,3.96,감시 지속,none
8,16.0,T00,bird,조류,-4.573314292920142,-0.5478987543826708,새/기타,0.1,6.5,3.99,감시 지속,none
8,16.0,T01,drone,고정익,2.8163162273102857,2.6110300543203504,드론,0.95,85.1,1.64,물리 요격(최후수단),hard
8,16.0,T02,bird,조류,-4.160147143287771,-0.7240944428507342,새/기타,0.1,25.5,3.88,감시 지속,none
8,16.0,T03,balloon,오물풍선,-0.5973833946195801,-3.729516679569845,풍선,0.15,27.0,3.78,감시 지속,none
8,16.0,T04,balloon,고고도 미사일 풍선,-4.317092224111706,0.3924486127624721,풍선,0.15,8.0,3.13,감시 지속,none
8,16.0,T05,drone,자폭형(FPV),-3.434808294082069,0.45577152828349987,드론,0.95,56.0,2.5,RF 재밍,soft
8,16.0,T06,bird,조류,-3.873229686161945,-2.37502581118967,새/기타,0.1,22.6,4.54,감시 지속,none
8,16.0,T07,balloon,오물풍선,3.0681696903063047,-2.6179555765325926,풍선,0.15,27.0,3.66,감시 지속,none
8,16.0,T08,bird,조류,-4.398892471183351,0.9512793868424179,새/기타,0.1,21.7,2.86,감시 지속,none
8,16.0,T09,balloon,고고도 미사일 풍선,-1.5660071478872264,4.519556327237833,풍선,0.15,53.4,2.07,포획·유도 회수,soft
8,16.0,T10,bird,조류,3.3732849434047094,-1.8970294821409712,새/기타,0.1,25.5,3.03,감시 지속,none
8,16.0,T11,drone,고정익,3.5277522829748884,1.4504242774498166,드론,0.95,90.2,1.12,물리 요격(최후수단),hard
8,16.0,T12,drone,고정익,3.8363524237666824,1.7992953735369774,드론,0.95,86.0,1.56,물리 요격(최후수단),hard
8,16.0,T13,drone,회전익(헬기형),3.2819960808329354,-2.72744865955802,드론,0.95,35.0,3.81,감시 지속,none
8,16.0,T15,bird,조류,-0.11981026519656732,4.284581516434892,새/기타,0.1,45.1,2.59,포획·유도 회수,soft
8,16.0,T16,bird,조류,-1.3688514449420621,-3.9574175730444767,새/기타,0.1,6.5,4.19,감시 지속,none
8,16.0,T17,balloon,고고도 미사일 풍선,-3.6618682179573674,1.144673211271042,풍선,0.15,33.5,2.14,감시 지속,none
8,16.0,T18,bird,조류,-0.6744099060950606,-3.736528793160228,새/기타,0.1,25.5,3.8,감시 지속,none
8,16.0,T19,bird,조류,1.0406912538584059,-3.8370784317056796,새/기타,0.1,6.5,3.98,감시 지속,none
9,18.0,T00,bird,조류,-4.588567680729925,-0.5972399623258606,새/기타,0.1,6.5,4.04,감시 지속,none
9,18.0,T02,bird,조류,-4.177217069644,-0.6617500831900931,새/기타,0.1,25.5,3.84,감시 지속,none
9,18.0,T03,balloon,오물풍선,-0.5481691900076877,-3.7398502437731493,풍선,0.15,8.0,3.78,감시 지속,none
9,18.0,T04,balloon,고고도 미사일 풍선,-4.420662220379838,0.434421375398199,풍선,0.15,8.0,3.18,감시 지속,none
9,18.0,T05,drone,자폭형(FPV),-3.329403598887709,0.5378306772756448,드론,0.95,76.7,2.37,물리 요격(최후수단),hard
9,18.0,T06,bird,조류,-3.8547225576462956,-2.3941388985647873,새/기타,0.1,17.3,4.54,감시 지속,none
9,18.0,T07,balloon,오물풍선,3.091856559262699,-2.623072220619367,풍선,0.15,8.0,3.67,감시 지속,none
9,18.0,T08,bird,조류,-4.436355114396888,0.9360394313426775,새/기타,0.1,20.8,2.9,감시 지속,none
9,18.0,T09,balloon,고고도 미사일 풍선,-1.6523644907959458,4.585716537108908,풍선,0.15,33.9,2.11,감시 지속,none
9,18.0,T10,bird,조류,3.364945425140035,-1.9165604457988485,새/기타,0.1,6.5,3.04,감시 지속,none
9,18.0,T11,drone,고정익,3.5292800834938,1.4021721508514515,드론,0.95,90.4,1.11,물리 요격(최후수단),hard
9,18.0,T12,drone,고정익,3.750000785760705,1.7767866030467003,드론,0.95,86.8,1.47,물리 요격(최후수단),hard
9,18.0,T13,drone,회전익(헬기형),3.327813403794028,-2.7205903002832086,드론,0.95,35.0,3.81,감시 지속,none
9,18.0,T14,bird,조류,3.080558519865104,-2.9598282641124993,새/기타,0.1,6.5,4.0,감시 지속,none
9,18.0,T15,bird,조류,-0.13032947106753257,4.277529369114006,새/기타,0.1,45.3,2.58,포획·유도 회수,soft
9,18.0,T16,bird,조류,-1.2967363919892931,-4.022518523980337,새/기타,0.1,6.5,4.23,감시 지속,none
9,18.0,T17,balloon,고고도 미사일 풍선,-3.5500980608279504,1.2254300691001048,풍선,0.15,54.1,2.01,포획·유도 회수,soft
9,18.0,T19,bird,조류,1.0837905721823564,-3.82041680398762,새/기타,0.1,15.1,3.97,감시 지속,none
10,20.0,T01,drone,고정익,2.638708062251323,2.594895905321638,드론,0.95,66.5,1.6,RF 재밍,soft
10,20.0,T02,bird,조류,-4.154342672365608,-0.6844109693810199,새/기타,0.1,6.5,3.84,감시 지속,none
10,20.0,T03,balloon,오물풍선,-0.616912944524722,-3.7236316424424047,풍선,0.15,18.3,3.77,감시 지속,none
10,20.0,T04,balloon,고고도 미사일 풍선,-4.296784270268026,0.44169235280526487,풍선,0.15,27.0,3.08,감시 지속,none
10,20.0,T05,drone,자폭형(FPV),-3.2481856299748655,0.5209323232871492,드론,0.95,77.1,2.34,물리 요격(최후수단),hard
10,20.0,T06,bird,조류,-3.823568802711784,-2.393754064399785,새/기타,0.1,25.5,4.51,감시 지속,none
10,20.0,T07,balloon,오물풍선,2.9919641170956637,-2.551002944389313,풍선,0.15,27.0,3.58,감시 지속,none
10,20.0,T08,bird,조류,-4.444307759675728,0.8979530274647146,새/기타,0.1,20.2,2.92,감시 지속,none
10,20.0,T09,balloon,고고도 미사일 풍선,-1.6616033884348291,4.532321303082758,풍선,0.15,53.5,2.06,포획·유도 회수,soft
10,20.0,T10,bird,조류,3.2645048801583245,-1.950357855508516,새/기타,0.1,6.5,3.05,감시 지속,none
10,20.0,T11,drone,고정익,3.4785012427813156,1.3435246978962465,드론,0.95,91.0,1.04,물리 요격(최후수단),hard
10,20.0,T12,drone,고정익,3.7747909254058865,1.720846813840695,드론,0.95,81.6,1.46,물리 요격(최후수단),hard
10,20.0,T13,drone,회전익(헬기형),3.368198021710204,-2.702339899744417,드론,0.95,51.7,3.8,RF 재밍,soft
10,20.0,T15,bird,조류,-0.20804000210480975,4.305265962561878,새/기타,0.1,45.8,2.54,포획·유도 회수,soft
10,20.0,T16,bird,조류,-1.3806283799067536,-4.026608591456321,새/기타,0.1,6.5,4.26,감시 지속,none
10,20.0,T17,balloon,고고도 미사일 풍선,-3.654236645065388,1.1786877648541598,풍선,0.15,33.8,2.12,감시 지속,none
